Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S199748080,Chilean Tinamou,Nothoprocta perdicaria,165,1,CL-RM,Lo Barnechea,L16585931,"Camino a Farellones, Lo Barnechea CL-Metropolitana de Santiago -33.34644, -70.35803",-33.346441,-70.358033,2024-10-19,08:09 AM,eBird - Stationary Count,8,1,,,1,,"Solo oída, no vista"
S154259403,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),300,2,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-11-11,08:12 AM,eBird - Traveling Count,171,1,2.623,,17,,,"Santa Clara Valley Audubon Society field trip with Vinayak Hebbagil, Eve Meier and Shweta Shidhore leading. For more information about membership, field trips and classes, visit scvas.org"
S165845247,Cackling Goose,Branta hutchinsii,319,2,US-CA,Alameda,L1341883,Coyote Hills Regional Park--Visitor Center area,37.5533565,-122.0907479,2024-03-24,09:07 AM,eBird - Traveling Count,200,1,2.2,,2
S164344784,Cackling Goose,Branta hutchinsii,319,40,US-CA,Alameda,L1024893,Hayward Regional Shoreline--Mt. Trashmore,37.6442428,-122.1498156,2024-03-10,08:45 AM,eBird - Traveling Count,200,1,3.21,,3
S165252927,Cackling Goose,Branta hutchinsii,319,2,US-CA,Alameda,L582754,San Leandro Marina,37.695231,-122.1906281,2024-03-17,09:00 AM,eBird - Traveling Count,159,1,3.542,,3
S162776023,Cackling Goose,Branta hutchinsii,319,2,US-CA,Santa Clara,L29477948,"94089, San Jose US-CA 37.41859, -121.99645",37.418592,-121.996448,2024-02-24,11:10 AM,eBird - Casual Observation,,0,,,1
S165759832,Canada Goose,Branta canadensis,330,5,US-CA,Alameda,L28296664,"Anthony Chabot Regional Park, Castro Valley US-CA 37.71526, -122.10225",37.715263,-122.10225,2024-03-23,03:59 PM,eBird - Traveling Count,106,1,3.868,,3
S159001730,Canada Goose,Branta canadensis,330,29,US-CA,Alameda,L216132,Coyote Hills Regional Park,37.553764,-122.0875025,2024-01-15,08:28 AM,eBird - Traveling Count,254,1,4.09,,3
S184622875,Canada Goose,Branta canadensis,330,20,US-CA,Alameda,L216132,Coyote Hills Regional Park,37.553764,-122.0875025,2024-06-30,11:00 AM,eBird - Traveling Count,92,1,4.74,,2
S203364471,Canada Goose,Branta canadensis,330,32,US-CA,Alameda,L216132,Coyote Hills Regional Park,37.553764,-122.0875025,2024-11-23,07:27 AM,eBird - Traveling Count,96,1,4.11,,1,,,,626617689 626617690
S190446672,Canada Goose,Branta canadensis,330,8,US-CA,Alameda,L13758035,Coyote Hills Regional Park--D.U.S.T. Trail,37.5603121,-122.0789314,2024-07-20,08:55 AM,eBird - Traveling Count,162,1,7.184,,3
S203368565,Canada Goose,Branta canadensis,330,25,US-CA,Alameda,L13758035,Coyote Hills Regional Park--D.U.S.T. Trail,37.5603121,-122.0789314,2024-11-23,09:06 AM,eBird - Traveling Count,30,0,1.2,,1,,,,626617929
S152332833,Canada Goose,Branta canadensis,330,4,US-CA,Alameda,L1341883,Coyote Hills Regional Park--Visitor Center area,37.5533565,-122.0907479,2023-10-15,09:31 AM,eBird - Traveling Count,181,1,5.39,,5
S165845247,Canada Goose,Branta canadensis,330,4,US-CA,Alameda,L1341883,Coyote Hills Regional Park--Visitor Center area,37.5533565,-122.0907479,2024-03-24,09:07 AM,eBird - Traveling Count,200,1,2.2,,2
S190211534,Canada Goose,Branta canadensis,330,1,US-CA,Alameda,L1001685,Hayward Regional Shoreline--Cogswell Marsh,37.6369365,-122.1479702,2024-08-04,07:50 AM,eBird - Traveling Count,112,1,3.22,,3
S164344784,Canada Goose,Branta canadensis,330,5,US-CA,Alameda,L1024893,Hayward Regional Shoreline--Mt. Trashmore,37.6442428,-122.1498156,2024-03-10,08:45 AM,eBird - Traveling Count,200,1,3.21,,3
